state	fips	year	black_men	total_men	black_women	total_women
SD	46	1999	84	2317	7	189
SD	46	2000	105	2416	2	200
SD	46	2001	111	2570	4	220
SD	46	2002	124	2691	4	227
SD	46	2003	125	2780	11	271
SD	46	2004	147	2803	12	292
SD	46	2005	180	3107	10	356
SD	46	2006	167	3009	8	350
SD	46	2007	178	2942	6	369
SD	46	2008	199	2987	11	355
SD	46	2009	201	3054	10	380
SD	46	2010	181	3023	6	411
SD	46	2011	195	3094	9	441
SD	46	2012	217	3227	10	423
TN	47	1981	3210	7502	136	395
TN	47	1982	3370	7489	145	380
TN	47	1983	3450	7803	176	398
TN	47	1984	3128	6988	109	314
TN	47	1985	3045	6825	108	302
TN	47	1986	3000	7178	142	413
TN	47	1987	3019	7224	137	400
TN	47	1988	2972	7330	156	402
TN	47	1989	4364	10159	155	471
TN	47	1990	4428	9998	155	471
TN	47	1991	5287	11015	216	459
TN	47	1992	5586	11321	230	528
TN	47	1993	5965	12316	217	508
TN	47	1994	6918	13814	251	587
TN	47	1995	7537	14569	261	637
TN	47	1996	7711	14938	262	688
TN	47	1997	8121	15861	316	798
TN	47	1998	8662	16852	331	886
TN	47	1999	11440	21134	602	1368
TN	47	2000	11108	20797	573	1369
TN	47	2001	11672	22203	591	1468
TN	47	2002	11915	23248	660	1741
TN	47	2003	11894	23596	630	1845
TN	47	2004	11944	23979	620	1905
TN	47	2005	11984	24347	627	2022
TN	47	2006	11639	23787	620	1958
TN	47	2007	11955	24344	604	1923
TN	47	2008	12286	25099	643	2129
TN	47	2009	12376	24956	600	2009
TN	47	2010	12425	25345	627	2106
TN	47	2011	12637	26070	656	2409
TN	47	2012	12538	26048	632	2363
TX	48	1981	12958	30050	774	1452
TX	48	1982	15046	34472	871	1677
TX	48	1983	14602	33789	723	1470
TX	48	1984	14837	34987	790	1695
TX	48	1985	14828	35938	720	1594
TX	48	1986	15207	36789	750	1745
TX	48	1987	15780	37279	652	1542
TX	48	1988	16956	38789	722	1648
TX	48	1989	19366	41953	948	2069
TX	48	1990	22634	47846	948	2069
TX	48	1991	23249	49186	1271	2491
TX	48	1992	27588	58691	1317	2487
TX	48	1993	29260	66320	2017	3807
TX	48	1994	40451	109356	2975	8839
TX	48	1995	55602	119831	4404	7935
TX	48	1996	55810	122450	5322	9933
TX	48	1997	58393	130051	5490	10300
TX	48	1998	59709	134178	5424	10332
TX	48	1999	64980	150688	6198	12502
TX	48	2000	61861	145752	5783	12245
TX	48	2001	62030	149701	5453	12369
TX	48	2002	60339	148952	5551	13051
TX	48	2003	60605	153424	5487	13487
TX	48	2004	59065	154147	5438	13958
TX	48	2005	59320	156537	5150	13951
TX	48	2006	59492	158317	4925	13799
TX	48	2007	58925	157859	4851	13931
TX	48	2008	59508	158653	4858	13853
TX	48	2009	58027	157679	4604	13570
TX	48	2010	57752	159298	4823	14351
TX	48	2011	57207	158036	4604	14188
TX	48	2012	54743	152823	4229	13549
UT	49	1981	99	1099	8	41
UT	49	1982	97	1169	8	47
UT	49	1983	116	1223	9	51
UT	49	1984	124	1433	14	67
UT	49	1985	142	1570	7	63
UT	49	1986	143	1774	5	71
UT	49	1987	161	1799	7	75
UT	49	1988	167	1872	7	89
UT	49	1989	196	2285	12	109
UT	49	1990	208	2371	12	109
UT	49	1991	207	2505	15	120
UT	49	1992	234	2575	18	124
UT	49	1993	230	2765	13	123
UT	49	1994	253	2914	19	131
UT	49	1995	278	3291	17	161
UT	49	1996	311	3761	17	211
UT	49	1997	318	4088	10	213
UT	49	1998	324	4173	22	280
UT	49	1999	390	5058	24	368
UT	49	2000	420	5250	30	382
UT	49	2001	407	5024	21	315
UT	49	2002	393	5192	17	373
UT	49	2003	366	5343	23	427
UT	49	2004	420	5482	24	508
UT	49	2005	418	5806	31	569
UT	49	2006	438	5813	38	618
UT	49	2007	427	5878	29	631
UT	49	2008	416	5906	29	640
UT	49	2009	442	5952	22	581
UT	49	2010	434	6199	20	608
UT	49	2011	435	6266	28	613
UT	49	2012	415	6323	19	639
VA	51	1981	5174	9040	202	348
VA	51	1982	5555	9715	222	364
VA	51	1983	5543	9712	222	381
VA	51	1984	6126	10406	282	433
VA	51	1985	6825	11604	286	469
VA	51	1986	7291	12442	290	488
VA	51	1987	7488	12822	286	499
VA	51	1988	8239	13596	341	588
VA	51	1989	9739	15683	523	794
VA	51	1990	10617	16666	523	794
VA	51	1991	12109	18789	660	1040
VA	51	1992	12896	20036	738	1163
VA	51	1993	14093	21631	793	1219
VA	51	1994	17002	25403	1024	1565
VA	51	1995	17403	25756	1113	1659
VA	51	1996	17436	25968	1103	1687
VA	51	1997	17859	26675	1111	1710
VA	51	1998	18888	28419	1162	1857
VA	51	1999	16158	27968	980	1967
VA	51	2000	18709	28109	1262	2059
VA	51	2001	19458	29422	1317	2240
VA	51	2002	19458	29422	1317	2240
VA	51	2003	20927	32386	1482	2681
VA	51	2004	21022	32858	1397	2706
VA	51	2005	20743	32718	1325	2660
VA	51	2006	21502	33864	1455	2903
VA	51	2007	22127	35055	1375	2929
VA	51	2008	22313	35249	1385	2967
VA	51	2009	22358	35304	1249	2777
VA	51	2010	21551	34570	1259	2840
VA	51	2011	21636	35321	1175	2809
VA	51	2012	21045	34362	1091	2682
VT	50	1981	10	519	0	15
VT	50	1982	-9	582	-9	17
VT	50	1983	0	488	0	9
VT	50	1984	0	503	0	12
VT	50	1985	0	660	0	17
VT	50	1986	-9	686	0	11
VT	50	1987	-9	745	0	14
VT	50	1988	-9	792	-9	28
VT	50	1989	-9	869	-9	36
VT	50	1990	-9	1013	-9	36
VT	50	1991	-9	1081	-9	37
VT	50	1992	-9	1208	-9	46
VT	50	1993	-9	1175	-9	48
VT	50	1994	29	1252	1	49
VT	50	1995	15	1235	0	44
VT	50	1996	14	1087	0	32
VT	50	1997	35	1217	1	53
VT	50	1998	45	1421	1	52
VT	50	1999	66	1477	2	59
VT	50	2000	75	1617	2	80
VT	50	2001	88	1646	6	95
VT	50	2002	99	1731	2	132
VT	50	2003	124	1809	3	135
VT	50	2004	128	1825	2	143
VT	50	2005	160	1926	6	152
VT	50	2006	206	2058	8	157
VT	50	2007	205	1987	8	158
VT	50	2008	187	1998	5	118
VT	50	2009	206	2065	13	155
VT	50	2010	199	1930	8	149
VT	50	2011	195	1905	7	148
VT	50	2012	187	1907	9	127
WA	53	1981	1042	5124	64	212
WA	53	1982	1158	6066	70	256
WA	53	1983	1211	6397	79	252
WA	53	1984	1214	6567	79	254
WA	53	1985	1218	6679	55	230
WA	53	1986	1182	6381	59	222
WA	53	1987	1129	5911	49	220
WA	53	1988	1225	5567	57	249
WA	53	1989	1315	6597	62	331
WA	53	1990	1489	7560	62	331
WA	53	1991	1810	8617	156	539
WA	53	1992	2036	9341	169	618
WA	53	1993	2096	9753	175	666
WA	53	1994	2278	10135	173	698
WA	53	1995	2500	10815	203	793
WA	53	1996	2694	11607	225	920
WA	53	1997	2742	12290	220	924
WA	53	1998	2997	13143	258	1018
WA	53	1999	3035	13479	252	1111
WA	53	2000	3052	13850	249	1065
WA	53	2001	3022	14080	228	1079
WA	53	2002	3245	14808	258	1254
WA	53	2003	3118	14860	232	1288
WA	53	2004	3159	15284	221	1330
WA	53	2005	3207	15927	217	1455
WA	53	2006	3207	16065	224	1496
WA	53	2007	3280	16258	242	1514
WA	53	2008	3209	16522	186	1404
WA	53	2009	3330	16836	197	1397
WA	53	2010	3259	16808	181	1427
WA	53	2011	3167	16452	172	1395
WA	53	2012	3041	15934	135	1337
WI	55	1981	1611	4247	78	169
WI	55	1982	1695	4473	94	197
WI	55	1983	1761	4650	97	215
WI	55	1984	1762	4684	91	218
WI	55	1985	1954	5190	118	252
WI	55	1986	2136	5415	137	282
WI	55	1987	2234	5796	138	301
WI	55	1988	2244	6071	119	282
WI	55	1989	2501	6485	145	303
WI	55	1990	2783	7017	145	303
WI	55	1991	3148	7506	177	343
WI	55	1992	3775	8519	186	393
WI	55	1993	3908	8394	203	387
WI	55	1994	4577	9610	223	412
WI	55	1995	5094	10697	277	502
WI	55	1996	5989	12346	333	645
WI	55	1997	7292	15290	496	987
WI	55	1998	8397	17414	619	1199
WI	55	1999	9127	19031	696	1386
WI	55	2000	8851	19260	628	1352
WI	55	2001	9443	20226	613	1307
WI	55	2002	7782	16868	612	1333
WI	55	2003	9385	20555	572	1337
WI	55	2004	10042	21583	577	1387
WI	55	2005	9481	21368	540	1352
WI	55	2006	10070	22005	555	1426
WI	55	2007	10125	22216	547	1527
WI	55	2008	9953	22023	447	1357
WI	55	2009	9540	21848	391	1305
WI	55	2010	9265	21460	345	1264
WI	55	2011	9195	21468	322	1186
WI	55	2012	8991	21375	350	1225
WV	54	1981	207	1528	11	37
WV	54	1982	226	1674	7	55
WV	54	1983	227	1558	18	66
WV	54	1984	220	1540	7	45
WV	54	1985	244	1668	16	57
WV	54	1986	201	1405	22	77
WV	54	1987	200	1392	21	69
WV	54	1988	199	1389	16	66
WV	54	1989	211	1463	10	73
WV	54	1990	215	1489	10	73
WV	54	1991	208	1432	10	70
WV	54	1992	239	1594	8	80
WV	54	1993	257	1726	12	79
WV	54	1994	274	1839	14	91
WV	54	1995	405	2383	22	129
WV	54	1996	416	2600	24	149
WV	54	1997	472	2962	30	186
WV	54	1998	520	3267	32	211
WV	54	1999	526	3293	38	239
WV	54	2000	598	3553	41	303
WV	54	2001	623	3869	52	346
WV	54	2002	635	4182	41	362
WV	54	2003	679	4353	46	405
WV	54	2004	668	4608	43	459
WV	54	2005	662	4832	45	480
WV	54	2006	749	5159	51	574
WV	54	2007	772	5422	58	634
WV	54	2008	765	5411	48	648
WV	54	2009	787	5683	50	684
WV	54	2010	799	5956	57	725
WV	54	2011	787	6074	53	752
WV	54	2012	766	6265	43	805
WY	56	1981	25	563	0	24
WY	56	1982	21	674	0	28
WY	56	1983	26	688	1	33
WY	56	1984	30	685	3	39
WY	56	1985	33	716	3	42
WY	56	1986	32	802	5	53
WY	56	1987	30	870	8	46
WY	56	1988	52	880	11	65
WY	56	1989	51	933	6	83
WY	56	1990	49	1022	6	83
WY	56	1991	48	1042	3	57
WY	56	1992	48	999	4	64
WY	56	1993	53	1063	6	66
WY	56	1994	55	1135	5	82
WY	56	1995	65	1289	8	106
WY	56	1996	73	1387	5	112
WY	56	1997	74	1413	8	136
WY	56	1998	69	1440	9	131
WY	56	1999	81	1571	4	142
WY	56	2000	93	1524	2	156
WY	56	2001	80	1549	3	135
WY	56	2002	91	1570	5	167
WY	56	2003	82	1697	6	175
WY	56	2004	86	1770	7	210
WY	56	2005	87	1825	7	222
WY	56	2006	93	1871	8	243
WY	56	2007	90	1838	8	246
WY	56	2008	99	1876	8	208
WY	56	2009	81	1861	6	214
WY	56	2010	91	1881	3	231
WY	56	2011	88	1944	5	239
WY	56	2012	100	1966	4	238
